Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.99114e+00,4.64,4.56,-0.84,-1
-1.99110e+00,4.64,4.8,-0.84,-0.76
-1.99107e+00,4.64,4.56,-0.92,-0.92
-1.99104e+00,4.72,4.8,-0.84,-0.76
-1.99101e+00,4.64,4.56,-0.84,-0.92
-1.99098e+00,4.64,4.8,-0.84,-0.76
-1.99094e+00,4.64,4.56,-0.84,-0.92
-1.99091e+00,4.64,4.8,-0.84,-0.76
-1.99088e+00,4.64,4.56,-0.84,-0.92
-1.99085e+00,4.64,4.8,-0.76,-0.76
-1.99082e+00,4.64,4.56,-0.84,-0.92
-1.99078e+00,4.64,4.8,-0.84,-0.76
-1.99075e+00,4.72,4.56,-0.84,-0.92
-1.99072e+00,4.72,4.8,-0.84,-0.76
-1.99069e+00,4.64,4.56,-0.84,-0.92
-1.99066e+00,4.64,4.8,-0.84,-0.68
-1.99062e+00,4.64,4.56,-0.84,-0.92
-1.99059e+00,4.64,4.8,-0.84,-0.76
-1.99056e+00,4.64,4.56,-0.84,-0.92
-1.99053e+00,4.64,4.8,-0.84,-0.76
-1.99050e+00,4.72,4.56,-0.84,-0.92
-1.99046e+00,4.64,4.8,-0.84,-0.76
-1.99043e+00,4.64,4.56,-0.84,-0.92
-1.99040e+00,4.64,4.8,-0.92,-0.76
-1.99037e+00,4.64,4.56,-0.84,-0.92
-1.99034e+00,4.64,4.8,-0.84,-0.76
-1.99030e+00,4.64,4.56,-0.84,-0.92
-1.99027e+00,4.64,4.8,-0.84,-0.76
-1.99024e+00,4.64,4.56,-0.92,-0.92
-1.99021e+00,4.72,4.8,-0.76,-0.76
-1.99018e+00,4.64,4.56,-0.84,-0.92
-1.99014e+00,4.64,4.8,-0.84,-0.76
-1.99011e+00,4.64,4.56,-0.84,-0.92
-1.99008e+00,4.64,4.8,-0.84,-0.76
-1.99005e+00,4.64,4.56,-0.84,-0.92
-1.99002e+00,4.64,4.8,-0.84,-0.68
-1.98998e+00,4.64,4.56,-0.84,-0.92
-1.98995e+00,4.64,4.8,-0.84,-0.76
-1.98992e+00,4.64,4.56,-0.84,-0.92
-1.98989e+00,4.64,4.8,-0.84,-0.76
-1.98986e+00,4.64,4.56,-0.84,-0.92
-1.98982e+00,4.64,4.8,-0.84,-0.76
-1.98979e+00,4.64,4.56,-0.92,-0.92
-1.98976e+00,4.64,4.8,-0.84,-0.68
-1.98973e+00,4.64,4.56,-0.84,-0.92
-1.98970e+00,4.64,4.8,-0.84,-0.68
-1.98966e+00,4.64,4.56,-0.84,-0.92
-1.98963e+00,4.64,4.8,-0.84,-0.76
-1.98960e+00,4.64,4.56,-0.84,-0.92
-1.98957e+00,4.64,4.8,-0.84,-0.76
-1.98954e+00,4.64,4.56,-0.84,-0.92
-1.98950e+00,4.64,4.88,-0.84,-0.76
-1.98947e+00,4.72,4.56,-0.84,-0.92
-1.98944e+00,4.64,4.8,-0.84,-0.76
-1.98941e+00,4.64,4.56,-0.84,-0.92
-1.98938e+00,4.64,4.8,-0.76,-0.76
-1.98934e+00,4.64,4.56,-0.84,-0.92
-1.98931e+00,4.64,4.8,-0.84,-0.76
-1.98928e+00,4.64,4.56,-0.76,-0.92
-1.98925e+00,4.72,4.8,-0.84,-0.76
-1.98922e+00,4.64,4.56,-0.84,-0.92
-1.98918e+00,4.64,4.8,-0.84,-0.76
-1.98915e+00,4.72,4.56,-0.84,-0.92
-1.98912e+00,4.64,4.8,-0.92,-0.76
-1.98909e+00,4.64,4.56,-0.84,-0.92
-1.98906e+00,4.64,4.8,-0.84,-0.76
-1.98902e+00,4.64,4.56,-0.84,-0.92
-1.98899e+00,4.64,4.8,-0.84,-0.76
-1.98896e+00,4.72,4.56,-0.84,-0.92
-1.98893e+00,4.64,4.8,-0.84,-0.76
-1.98890e+00,4.64,4.56,-0.84,-0.92
-1.98886e+00,4.64,4.8,-0.84,-0.76
-1.98883e+00,4.64,4.56,-0.84,-0.92
-1.98880e+00,4.64,4.8,-0.84,-0.76
-1.98877e+00,4.64,4.56,-0.84,-0.92
-1.98874e+00,4.64,4.8,-0.84,-0.76
-1.98870e+00,4.64,4.56,-0.84,-0.92
-1.98867e+00,4.64,4.8,-0.84,-0.76
-1.98864e+00,4.72,4.56,-0.84,-0.92
-1.98861e+00,4.64,4.8,-0.84,-0.76
-1.98858e+00,4.72,4.56,-0.84,-0.92
-1.98854e+00,4.64,4.8,-0.84,-0.68
-1.98851e+00,4.64,4.56,-0.84,-0.92
-1.98848e+00,4.64,4.8,-0.84,-0.76
-1.98845e+00,4.64,4.56,-0.84,-0.92
-1.98842e+00,4.64,4.8,-0.84,-0.68
-1.98838e+00,4.64,4.56,-0.84,-0.92
-1.98835e+00,4.64,4.8,-0.84,-0.76
-1.98832e+00,4.64,4.56,-0.84,-0.92
-1.98829e+00,4.64,4.8,-0.84,-0.76
-1.98826e+00,4.64,4.56,-0.84,-0.92
-1.98822e+00,4.64,4.8,-0.84,-0.76
-1.98819e+00,4.64,4.56,-0.84,-0.92
-1.98816e+00,4.64,4.8,-0.84,-0.76
-1.98813e+00,4.64,4.56,-0.84,-0.92
-1.98810e+00,4.64,4.8,-0.84,-0.76
-1.98806e+00,4.64,4.56,-0.76,-0.92
-1.98803e+00,4.56,4.8,-0.84,-0.76
-1.98800e+00,4.64,4.56,-0.84,-0.92
-1.98797e+00,4.64,4.8,-0.84,-0.76
-1.98794e+00,4.72,4.56,-0.84,-0.92
-1.98790e+00,4.64,4.8,-0.84,-0.76
-1.98787e+00,4.64,4.56,-0.84,-0.92
-1.98784e+00,4.64,4.8,-0.84,-0.68
-1.98781e+00,4.64,4.56,-0.84,-0.92
-1.98778e+00,4.64,4.8,-0.84,-0.76
-1.98774e+00,4.64,4.56,-0.84,-0.92
-1.98771e+00,4.64,4.8,-0.84,-0.68
-1.98768e+00,4.64,4.56,-0.84,-0.92
-1.98765e+00,4.64,4.8,-0.84,-0.68
-1.98762e+00,4.64,4.56,-0.84,-0.92
-1.98758e+00,4.64,4.8,-0.84,-0.76
-1.98755e+00,4.64,4.56,-0.84,-0.92
-1.98752e+00,4.64,4.8,-0.84,-0.68
-1.98749e+00,4.64,4.56,-0.84,-0.92
-1.98746e+00,4.64,4.8,-0.84,-0.76
-1.98742e+00,4.64,4.56,-0.84,-0.92
-1.98739e+00,4.64,4.8,-0.84,-0.76
-1.98736e+00,4.64,4.56,-0.84,-0.92
-1.98733e+00,4.64,4.8,-0.84,-0.76
-1.98730e+00,4.64,4.56,-0.84,-0.92
-1.98726e+00,4.64,4.88,-0.84,-0.76
-1.98723e+00,4.64,4.56,-0.84,-0.92
-1.98720e+00,4.64,4.8,-0.84,-0.68
-1.98717e+00,4.64,4.48,-0.84,-0.92
-1.98714e+00,4.64,4.8,-0.84,-0.68
-1.98710e+00,4.64,4.56,-0.84,-0.92
-1.98707e+00,4.64,4.8,-0.84,-0.68
-1.98704e+00,4.64,4.56,-0.84,-0.92
-1.98701e+00,4.64,4.8,-0.84,-0.68
-1.98698e+00,4.64,4.56,-0.84,-0.92
-1.98694e+00,4.64,4.72,-0.84,-0.68
-1.98691e+00,4.64,4.56,-0.84,-0.92
-1.98688e+00,4.64,4.8,-0.84,-0.76
-1.98685e+00,4.64,4.56,-0.84,-0.92
-1.98682e+00,4.64,4.8,-0.84,-0.76
-1.98678e+00,4.64,4.56,-0.84,-0.92
-1.98675e+00,4.64,4.8,-0.76,-0.76
-1.98672e+00,4.64,4.56,-0.84,-0.92
-1.98669e+00,4.64,4.8,-0.84,-0.76
-1.98666e+00,4.72,4.56,-0.84,-0.92
-1.98662e+00,4.64,4.8,-0.84,-0.76
-1.98659e+00,4.64,4.56,-0.84,-0.92
-1.98656e+00,4.64,4.8,-0.84,-0.68
-1.98653e+00,4.64,4.56,-0.84,-0.92
-1.98650e+00,4.64,4.8,-0.84,-0.76
