Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.38976e-01,2.8,2.96,-0.12,0.04
-4.38944e-01,2.8,2.72,-0.12,-0.2
-4.38912e-01,2.8,2.96,-0.12,0.04
-4.38880e-01,2.8,2.72,-0.12,-0.2
-4.38848e-01,2.8,2.96,-0.12,0.04
-4.38816e-01,2.88,2.72,-0.12,-0.2
-4.38784e-01,2.88,2.96,-0.12,0.04
-4.38752e-01,2.88,2.72,-0.12,-0.2
-4.38720e-01,2.8,2.96,-0.12,0.04
-4.38688e-01,2.8,2.72,-0.12,-0.2
-4.38656e-01,2.8,2.96,-0.12,0.04
-4.38624e-01,2.8,2.64,-0.12,-0.2
-4.38592e-01,2.88,2.96,-0.12,0.04
-4.38560e-01,2.88,2.72,-0.12,-0.2
-4.38528e-01,2.88,2.88,-0.12,0.04
-4.38496e-01,2.8,2.72,-0.12,-0.2
-4.38464e-01,2.8,2.96,-0.12,0.04
-4.38432e-01,2.88,2.72,-0.12,-0.2
-4.38400e-01,2.72,2.96,-0.12,0.04
-4.38368e-01,2.8,2.72,-0.12,-0.2
-4.38336e-01,2.8,2.88,-0.12,0.04
-4.38304e-01,2.8,2.72,-0.12,-0.2
-4.38272e-01,2.88,2.88,-0.12,0.04
-4.38240e-01,2.8,2.72,-0.12,-0.2
-4.38208e-01,2.8,2.96,-0.12,0.04
-4.38176e-01,2.8,2.72,-0.12,-0.2
-4.38144e-01,2.8,2.96,-0.12,0.04
-4.38112e-01,2.8,2.72,-0.12,-0.2
-4.38080e-01,2.8,2.96,-0.12,0.04
-4.38048e-01,2.88,2.72,-0.12,-0.2
-4.38016e-01,2.88,2.88,-0.12,0.04
-4.37984e-01,2.88,2.72,-0.12,-0.2
-4.37952e-01,2.8,2.96,-0.12,0.04
-4.37920e-01,2.8,2.72,-0.2,-0.2
-4.37888e-01,2.8,2.96,-0.12,0.04
-4.37856e-01,2.8,2.72,-0.12,-0.2
-4.37824e-01,2.88,2.96,-0.12,0.04
-4.37792e-01,2.88,2.72,-0.12,-0.2
-4.37760e-01,2.8,2.96,-0.12,0.04
-4.37728e-01,2.88,2.72,-0.12,-0.2
-4.37696e-01,2.8,2.96,-0.12,0.04
-4.37664e-01,2.8,2.72,-0.12,-0.2
-4.37632e-01,2.8,2.96,-0.12,0.04
-4.37600e-01,2.8,2.72,-0.12,-0.2
-4.37568e-01,2.88,2.96,-0.12,0.04
-4.37536e-01,2.88,2.72,-0.12,-0.2
-4.37504e-01,2.88,2.88,-0.12,0.04
-4.37472e-01,2.88,2.72,-0.12,-0.2
-4.37440e-01,2.8,2.96,-0.12,0.04
-4.37408e-01,2.8,2.72,-0.12,-0.2
-4.37376e-01,2.8,2.96,-0.12,0.04
-4.37344e-01,2.8,2.72,-0.2,-0.2
-4.37312e-01,2.8,2.96,-0.12,0.04
-4.37280e-01,2.88,2.72,-0.12,-0.2
-4.37248e-01,2.88,2.96,-0.12,0.04
-4.37216e-01,2.88,2.72,-0.12,-0.2
-4.37184e-01,2.88,2.96,-0.12,0.04
-4.37152e-01,2.8,2.72,-0.12,-0.2
-4.37120e-01,2.8,2.96,-0.12,0.04
-4.37088e-01,2.88,2.72,-0.12,-0.2
-4.37056e-01,2.88,2.96,-0.12,0.04
-4.37024e-01,2.88,2.72,-0.12,-0.2
-4.36992e-01,2.88,2.96,-0.12,0.04
-4.36960e-01,2.88,2.72,-0.12,-0.2
-4.36928e-01,2.8,2.96,-0.2,0.04
-4.36896e-01,2.8,2.72,-0.12,-0.2
-4.36864e-01,2.8,2.96,-0.12,0.04
-4.36832e-01,2.8,2.72,-0.2,-0.2
-4.36800e-01,2.88,2.96,-0.12,0.04
-4.36768e-01,2.88,2.72,-0.12,-0.2
-4.36736e-01,2.88,2.96,-0.12,0.04
-4.36704e-01,2.88,2.8,-0.12,-0.2
-4.36672e-01,2.88,2.96,-0.12,0.04
-4.36640e-01,2.8,2.72,-0.2,-0.2
-4.36608e-01,2.8,2.96,-0.12,-0.04
-4.36576e-01,2.8,2.72,-0.12,-0.2
-4.36544e-01,2.8,2.96,-0.12,0.04
-4.36512e-01,2.88,2.72,-0.12,-0.2
-4.36480e-01,2.88,2.96,-0.2,0.04
-4.36448e-01,2.88,2.72,-0.12,-0.2
-4.36416e-01,2.8,2.96,-0.12,0.04
-4.36384e-01,2.8,2.72,-0.12,-0.2
-4.36352e-01,2.8,2.96,-0.12,0.04
-4.36320e-01,2.88,2.72,-0.2,-0.2
-4.36288e-01,2.8,2.96,-0.12,0.04
-4.36256e-01,2.88,2.72,-0.12,-0.2
-4.36224e-01,2.96,2.96,-0.12,0.04
-4.36192e-01,2.8,2.8,-0.12,-0.2
-4.36160e-01,2.88,2.96,-0.12,0.04
-4.36128e-01,2.8,2.72,-0.04,-0.2
-4.36096e-01,2.8,2.96,-0.12,0.04
-4.36064e-01,2.8,2.72,-0.12,-0.2
-4.36032e-01,2.88,2.96,-0.12,0.04
-4.36000e-01,2.88,2.72,-0.12,-0.2
-4.35968e-01,2.88,2.96,-0.12,0.04
-4.35936e-01,2.8,2.8,-0.12,-0.2
-4.35904e-01,2.88,2.96,-0.12,0.04
-4.35872e-01,2.8,2.72,-0.12,-0.2
-4.35840e-01,2.88,2.96,-0.12,0.04
-4.35808e-01,2.8,2.72,-0.12,-0.2
-4.35776e-01,2.88,2.96,-0.12,0.04
-4.35744e-01,2.88,2.72,-0.12,-0.2
-4.35712e-01,2.88,2.96,-0.2,0.04
-4.35680e-01,2.8,2.72,-0.12,-0.2
-4.35648e-01,2.8,2.96,-0.12,0.04
-4.35616e-01,2.8,2.72,-0.12,-0.2
-4.35584e-01,2.8,2.96,-0.12,-0.04
-4.35552e-01,2.8,2.72,-0.12,-0.2
-4.35520e-01,2.8,2.96,-0.12,0.04
-4.35488e-01,2.88,2.72,-0.12,-0.2
-4.35456e-01,2.88,2.96,-0.2,0.04
-4.35424e-01,2.88,2.72,-0.12,-0.2
-4.35392e-01,2.8,2.96,-0.12,0.04
-4.35360e-01,2.8,2.72,-0.12,-0.2
-4.35328e-01,2.88,2.96,-0.12,-0.04
-4.35296e-01,2.8,2.72,-0.12,-0.2
-4.35264e-01,2.88,2.96,-0.12,0.04
-4.35232e-01,2.88,2.72,-0.12,-0.2
-4.35200e-01,2.88,2.96,-0.2,0.04
-4.35168e-01,2.88,2.8,-0.12,-0.2
-4.35136e-01,2.8,2.96,-0.12,0.04
-4.35104e-01,2.8,2.8,-0.12,-0.2
-4.35072e-01,2.88,2.96,-0.12,0.04
-4.35040e-01,2.8,2.72,-0.12,-0.2
-4.35008e-01,2.88,2.96,-0.12,0.04
-4.34976e-01,2.88,2.72,-0.12,-0.2
-4.34944e-01,2.88,2.96,-0.12,0.04
-4.34912e-01,2.88,2.8,-0.12,-0.28
-4.34880e-01,2.88,2.96,-0.12,-0.04
-4.34848e-01,2.8,2.72,-0.12,-0.2
-4.34816e-01,2.88,2.96,-0.12,-0.04
-4.34784e-01,2.8,2.72,-0.12,-0.2
-4.34752e-01,2.88,3.04,-0.12,0.04
-4.34720e-01,2.88,2.72,-0.12,-0.2
-4.34688e-01,2.88,2.96,-0.12,0.04
-4.34656e-01,2.88,2.8,-0.12,-0.2
-4.34624e-01,2.8,2.96,-0.12,0.04
-4.34592e-01,2.8,2.8,-0.12,-0.2
-4.34560e-01,2.8,2.96,-0.12,0.04
-4.34528e-01,2.8,2.72,-0.12,-0.2
-4.34496e-01,2.88,2.96,-0.12,0.04
-4.34464e-01,2.88,2.72,-0.2,-0.2
-4.34432e-01,2.8,2.96,-0.2,0.04
-4.34400e-01,2.88,2.8,-0.12,-0.2
-4.34368e-01,2.8,2.96,-0.2,0.04
-4.34336e-01,2.8,2.72,-0.12,-0.2
-4.34304e-01,2.8,2.96,-0.12,0.04
-4.34272e-01,2.88,2.72,-0.12,-0.2
-4.34240e-01,2.88,2.96,-0.12,0.04
-4.34208e-01,2.88,2.72,-0.12,-0.2
-4.34176e-01,2.88,2.96,-0.2,0.04
-4.34144e-01,2.88,2.8,-0.12,-0.2
-4.34112e-01,2.8,3.04,-0.12,0.04
-4.34080e-01,2.8,2.72,-0.2,-0.2
-4.34048e-01,2.8,2.96,-0.12,-0.04
-4.34016e-01,2.8,2.72,-0.12,-0.2
-4.33984e-01,2.88,2.96,-0.12,0.04
-4.33952e-01,2.88,2.72,-0.2,-0.2
-4.33920e-01,2.88,2.96,-0.12,0.04
-4.33888e-01,2.88,2.8,-0.12,-0.2
-4.33856e-01,2.8,2.96,-0.12,-0.04
-4.33824e-01,2.8,2.72,-0.12,-0.28
-4.33792e-01,2.8,2.96,-0.12,0.04
-4.33760e-01,2.88,2.72,-0.12,-0.2
-4.33728e-01,2.88,2.96,-0.12,0.04
-4.33696e-01,2.88,2.72,-0.12,-0.2
-4.33664e-01,2.88,2.96,-0.12,0.04
-4.33632e-01,2.8,2.8,-0.12,-0.2
-4.33600e-01,2.88,2.96,-0.12,0.04
-4.33568e-01,2.8,2.72,-0.12,-0.28
-4.33536e-01,2.88,2.96,-0.12,-0.04
-4.33504e-01,2.88,2.72,-0.12,-0.2
-4.33472e-01,2.88,2.96,-0.12,0.04
-4.33440e-01,2.88,2.72,-0.2,-0.2
-4.33408e-01,2.88,2.96,-0.12,0.04
-4.33376e-01,2.88,2.8,-0.12,-0.28
-4.33344e-01,2.88,2.96,-0.12,0.04
-4.33312e-01,2.8,2.8,-0.12,-0.2
-4.33280e-01,2.88,2.96,-0.12,0.04
-4.33248e-01,2.88,2.72,-0.12,-0.2
-4.33216e-01,2.88,2.96,-0.12,0.04
-4.33184e-01,2.88,2.72,-0.12,-0.2
-4.33152e-01,2.88,2.96,-0.12,0.04
-4.33120e-01,2.88,2.8,-0.2,-0.2
-4.33088e-01,2.88,2.96,-0.12,0.04
-4.33056e-01,2.8,2.72,-0.12,-0.2
-4.33024e-01,2.8,2.96,-0.12,-0.04
-4.32992e-01,2.88,2.72,-0.12,-0.2
-4.32960e-01,2.88,2.96,-0.12,0.04
-4.32928e-01,2.88,2.72,-0.12,-0.2
-4.32896e-01,2.88,2.96,-0.12,0.04
-4.32864e-01,2.88,2.8,-0.12,-0.2
-4.32832e-01,2.88,3.04,-0.12,-0.04
-4.32800e-01,2.8,2.72,-0.12,-0.2
-4.32768e-01,2.8,2.96,-0.12,0.04
-4.32736e-01,2.88,2.72,-0.12,-0.2
-4.32704e-01,2.88,2.96,-0.12,0.04
-4.32672e-01,2.88,2.72,-0.12,-0.2
-4.32640e-01,2.88,2.96,-0.12,0.04
-4.32608e-01,2.88,2.8,-0.12,-0.2
-4.32576e-01,2.8,2.96,-0.12,-0.04
-4.32544e-01,2.8,2.72,-0.12,-0.2
-4.32512e-01,2.88,2.96,-0.12,-0.04
-4.32480e-01,2.88,2.72,-0.12,-0.2
-4.32448e-01,2.88,2.96,-0.12,0.04
-4.32416e-01,2.88,2.72,-0.12,-0.2
-4.32384e-01,2.88,2.96,-0.2,0.04
-4.32352e-01,2.88,2.8,-0.12,-0.2
-4.32320e-01,2.88,3.04,-0.12,-0.04
-4.32288e-01,2.8,2.72,-0.12,-0.2
-4.32256e-01,2.8,2.96,-0.12,-0.04
-4.32224e-01,2.8,2.72,-0.2,-0.2
-4.32192e-01,2.88,3.04,-0.12,0.04
-4.32160e-01,2.88,2.8,-0.2,-0.2
-4.32128e-01,2.8,2.96,-0.2,0.04
-4.32096e-01,2.88,2.8,-0.12,-0.2
-4.32064e-01,2.8,2.96,-0.12,-0.04
-4.32032e-01,2.8,2.72,-0.12,-0.2
-4.32000e-01,2.88,2.96,-0.2,0.04
-4.31968e-01,2.88,2.72,-0.2,-0.2
-4.31936e-01,2.88,3.04,-0.12,0.04
-4.31904e-01,2.88,2.72,-0.2,-0.2
-4.31872e-01,2.88,2.96,-0.12,0.04
-4.31840e-01,2.8,2.8,-0.12,-0.28
-4.31808e-01,2.8,2.96,-0.12,0.04
-4.31776e-01,2.8,2.72,-0.12,-0.2
-4.31744e-01,2.8,2.96,-0.12,-0.04
-4.31712e-01,2.88,2.72,-0.12,-0.2
-4.31680e-01,2.88,2.96,-0.12,0.04
-4.31648e-01,2.88,2.72,-0.12,-0.2
-4.31616e-01,2.88,2.96,-0.12,0.04
-4.31584e-01,2.88,2.8,-0.12,-0.2
-4.31552e-01,2.8,2.96,-0.12,-0.04
-4.31520e-01,2.8,2.72,-0.12,-0.28
-4.31488e-01,2.8,2.96,-0.12,-0.04
-4.31456e-01,2.88,2.72,-0.12,-0.2
-4.31424e-01,2.88,2.96,-0.12,0.04
-4.31392e-01,2.88,2.72,-0.12,-0.2
-4.31360e-01,2.88,2.96,-0.2,0.04
-4.31328e-01,2.88,2.8,-0.2,-0.28
-4.31296e-01,2.8,2.96,-0.12,-0.04
-4.31264e-01,2.8,2.8,-0.12,-0.2
-4.31232e-01,2.8,2.96,-0.12,-0.04
-4.31200e-01,2.88,2.72,-0.12,-0.2
-4.31168e-01,2.96,2.96,-0.12,0.04
-4.31136e-01,2.88,2.72,-0.12,-0.2
-4.31104e-01,2.88,2.96,-0.2,0.04
-4.31072e-01,2.88,2.8,-0.12,-0.28
-4.31040e-01,2.88,3.04,-0.12,-0.04
-4.31008e-01,2.8,2.8,-0.12,-0.2
-4.30976e-01,2.8,2.96,-0.12,-0.04
-4.30944e-01,2.88,2.72,-0.12,-0.2
-4.30912e-01,2.88,3.04,-0.12,0.04
-4.30880e-01,2.88,2.72,-0.12,-0.2
-4.30848e-01,2.88,2.96,-0.12,-0.04
-4.30816e-01,2.88,2.8,-0.12,-0.2
-4.30784e-01,2.88,2.96,-0.12,-0.04
-4.30752e-01,2.88,2.8,-0.12,-0.2
-4.30720e-01,2.88,3.04,-0.12,-0.04
-4.30688e-01,2.88,2.72,-0.12,-0.2
-4.30656e-01,2.88,3.04,-0.12,0.04
-4.30624e-01,2.88,2.8,-0.2,-0.2
-4.30592e-01,2.88,2.96,-0.2,0.04
-4.30560e-01,2.88,2.8,-0.12,-0.2
-4.30528e-01,2.8,3.04,-0.2,0.04
-4.30496e-01,2.88,2.72,-0.2,-0.2
-4.30464e-01,2.8,2.96,-0.12,-0.04
-4.30432e-01,2.88,2.72,-0.12,-0.2
-4.30400e-01,2.88,2.96,-0.12,0.04
-4.30368e-01,2.88,2.8,-0.12,-0.2
-4.30336e-01,2.88,2.96,-0.2,0.04
-4.30304e-01,2.88,2.8,-0.12,-0.2
-4.30272e-01,2.8,3.04,-0.12,-0.04
-4.30240e-01,2.88,2.8,-0.12,-0.2
-4.30208e-01,2.8,2.96,-0.12,0.04
-4.30176e-01,2.88,2.72,-0.12,-0.2
-4.30144e-01,2.88,3.04,-0.12,0.04
-4.30112e-01,2.88,2.8,-0.2,-0.2
-4.30080e-01,2.88,2.96,-0.12,-0.04
-4.30048e-01,2.88,2.8,-0.2,-0.2
-4.30016e-01,2.8,2.96,-0.12,-0.04
-4.29984e-01,2.88,2.8,-0.12,-0.28
-4.29952e-01,2.88,2.96,-0.12,-0.04
-4.29920e-01,2.88,2.72,-0.2,-0.2
-4.29888e-01,2.96,3.04,-0.2,0.04
-4.29856e-01,2.88,2.8,-0.2,-0.2
-4.29824e-01,2.88,2.96,-0.12,0.04
-4.29792e-01,2.88,2.8,-0.12,-0.28
-4.29760e-01,2.88,3.04,-0.2,-0.04
-4.29728e-01,2.88,2.8,-0.12,-0.2
-4.29696e-01,2.88,2.96,-0.12,-0.04
-4.29664e-01,2.88,2.72,-0.12,-0.2
-4.29632e-01,2.88,3.04,-0.2,0.04
-4.29600e-01,2.88,2.8,-0.2,-0.28
-4.29568e-01,2.88,2.96,-0.12,0.04
-4.29536e-01,2.88,2.8,-0.12,-0.2
-4.29504e-01,2.88,2.96,-0.12,-0.04
-4.29472e-01,2.8,2.8,-0.12,-0.28
-4.29440e-01,2.88,2.96,-0.12,-0.04
-4.29408e-01,2.88,2.72,-0.2,-0.2
-4.29376e-01,2.88,2.96,-0.2,0.04
-4.29344e-01,2.88,2.8,-0.2,-0.2
-4.29312e-01,2.8,2.96,-0.2,0.04
-4.29280e-01,2.88,2.8,-0.12,-0.28
-4.29248e-01,2.8,3.04,-0.12,-0.04
-4.29216e-01,2.8,2.8,-0.12,-0.28
-4.29184e-01,2.8,2.96,-0.12,-0.04
-4.29152e-01,2.88,2.72,-0.2,-0.2
-4.29120e-01,2.88,3.04,-0.12,0.04
-4.29088e-01,2.88,2.8,-0.12,-0.2
-4.29056e-01,2.88,2.96,-0.2,-0.04
-4.29024e-01,2.88,2.8,-0.12,-0.2
-4.28992e-01,2.88,3.04,-0.12,-0.04
-4.28960e-01,2.88,2.8,-0.12,-0.2
-4.28928e-01,2.88,2.96,-0.12,-0.04
-4.28896e-01,2.88,2.72,-0.12,-0.2
-4.28864e-01,2.96,2.96,-0.2,0.04
-4.28832e-01,2.88,2.8,-0.12,-0.28
-4.28800e-01,2.88,2.96,-0.2,0.04
-4.28768e-01,2.88,2.8,-0.12,-0.2
-4.28736e-01,2.88,2.96,-0.12,-0.04
-4.28704e-01,2.8,2.8,-0.12,-0.2
-4.28672e-01,2.88,2.96,-0.12,-0.04
-4.28640e-01,2.88,2.72,-0.12,-0.2
-4.28608e-01,2.88,2.96,-0.12,0.04
-4.28576e-01,2.88,2.8,-0.12,-0.2
-4.28544e-01,2.88,2.96,-0.12,0.04
-4.28512e-01,2.88,2.8,-0.12,-0.28
-4.28480e-01,2.88,3.04,-0.12,-0.04
-4.28448e-01,2.88,2.8,-0.12,-0.28
-4.28416e-01,2.88,2.96,-0.2,-0.04
-4.28384e-01,2.88,2.8,-0.12,-0.2
-4.28352e-01,2.88,3.04,-0.12,0.04
-4.28320e-01,2.88,2.8,-0.2,-0.2
-4.28288e-01,2.88,2.96,-0.12,-0.04
-4.28256e-01,2.88,2.8,-0.12,-0.2
-4.28224e-01,2.88,3.04,-0.12,-0.04
-4.28192e-01,2.88,2.8,-0.12,-0.28
-4.28160e-01,2.88,2.96,-0.12,-0.04
-4.28128e-01,2.88,2.8,-0.12,-0.2
-4.28096e-01,2.88,2.96,-0.2,0.04
-4.28064e-01,2.88,2.8,-0.2,-0.2
-4.28032e-01,2.88,2.96,-0.12,-0.04
-4.28000e-01,2.88,2.8,-0.12,-0.2
-4.27968e-01,2.88,3.04,-0.12,-0.04
-4.27936e-01,2.88,2.8,-0.12,-0.2
-4.27904e-01,2.88,2.96,-0.12,-0.04
-4.27872e-01,2.88,2.72,-0.12,-0.2
-4.27840e-01,2.88,3.04,-0.2,0.04
-4.27808e-01,2.88,2.8,-0.2,-0.2
-4.27776e-01,2.88,2.96,-0.12,-0.04
-4.27744e-01,2.88,2.8,-0.12,-0.2
-4.27712e-01,2.8,3.04,-0.12,-0.04
-4.27680e-01,2.88,2.8,-0.12,-0.2
-4.27648e-01,2.88,2.96,-0.12,-0.04
-4.27616e-01,2.88,2.72,-0.12,-0.2
-4.27584e-01,2.88,3.04,-0.12,0.04
-4.27552e-01,2.88,2.8,-0.2,-0.2
-4.27520e-01,2.88,2.96,-0.2,0.04
-4.27488e-01,2.88,2.8,-0.12,-0.28
-4.27456e-01,2.88,3.04,-0.12,-0.04
-4.27424e-01,2.88,2.72,-0.12,-0.2
-4.27392e-01,2.8,2.96,-0.12,-0.04
-4.27360e-01,2.88,2.8,-0.2,-0.2
-4.27328e-01,2.88,3.04,-0.12,-0.04
-4.27296e-01,2.88,2.8,-0.12,-0.2
-4.27264e-01,2.88,2.96,-0.2,0.04
-4.27232e-01,2.88,2.8,-0.12,-0.2
-4.27200e-01,2.88,3.04,-0.12,-0.04
-4.27168e-01,2.88,2.8,-0.12,-0.2
-4.27136e-01,2.88,2.96,-0.12,-0.04
-4.27104e-01,2.96,2.72,-0.12,-0.2
-4.27072e-01,2.88,2.96,-0.2,0.04
-4.27040e-01,2.88,2.8,-0.2,-0.2
-4.27008e-01,2.88,3.04,-0.12,0.04
-4.26976e-01,2.88,2.8,-0.2,-0.2
-4.26944e-01,2.88,3.04,-0.2,-0.04
-4.26912e-01,2.88,2.8,-0.12,-0.2
-4.26880e-01,2.88,2.96,-0.12,-0.04
-4.26848e-01,2.88,2.72,-0.12,-0.2
-4.26816e-01,2.88,3.04,-0.2,-0.04
-4.26784e-01,2.96,2.8,-0.12,-0.2
-4.26752e-01,2.88,2.96,-0.12,0.04
-4.26720e-01,2.96,2.8,-0.12,-0.28
-4.26688e-01,2.88,3.04,-0.12,-0.04
-4.26656e-01,2.88,2.8,-0.12,-0.2
-4.26624e-01,2.88,2.96,-0.2,-0.04
-4.26592e-01,2.88,2.72,-0.2,-0.2
-4.26560e-01,2.88,2.96,-0.12,-0.04
-4.26528e-01,2.96,2.8,-0.2,-0.2
-4.26496e-01,2.88,2.96,-0.12,-0.04
-4.26464e-01,2.88,2.8,-0.2,-0.2
-4.26432e-01,2.88,3.04,-0.12,-0.04
-4.26400e-01,2.88,2.8,-0.12,-0.2
-4.26368e-01,2.88,2.96,-0.12,-0.04
-4.26336e-01,2.88,2.8,-0.12,-0.2
-4.26304e-01,2.88,3.04,-0.12,0.04
-4.26272e-01,2.88,2.8,-0.12,-0.2
-4.26240e-01,2.88,3.04,-0.12,-0.04
-4.26208e-01,2.88,2.8,-0.12,-0.28
-4.26176e-01,2.88,3.04,-0.12,-0.04
-4.26144e-01,2.88,2.8,-0.12,-0.2
-4.26112e-01,2.88,2.96,-0.12,-0.04
-4.26080e-01,2.88,2.8,-0.12,-0.2
-4.26048e-01,2.96,3.04,-0.2,-0.04
-4.26016e-01,2.96,2.8,-0.12,-0.2
-4.25984e-01,2.88,3.04,-0.12,-0.04
-4.25952e-01,2.88,2.8,-0.2,-0.28
-4.25920e-01,2.88,3.04,-0.2,-0.04
-4.25888e-01,2.88,2.8,-0.2,-0.28
-4.25856e-01,2.88,2.96,-0.12,-0.04
-4.25824e-01,2.88,2.72,-0.12,-0.2
-4.25792e-01,2.88,3.04,-0.12,-0.04
-4.25760e-01,2.88,2.8,-0.2,-0.2
-4.25728e-01,2.88,2.96,-0.12,-0.04
-4.25696e-01,2.88,2.8,-0.12,-0.28
-4.25664e-01,2.88,3.04,-0.12,-0.04
-4.25632e-01,2.88,2.8,-0.12,-0.2
-4.25600e-01,2.88,3.04,-0.2,-0.04
-4.25568e-01,2.88,2.72,-0.12,-0.28
-4.25536e-01,2.88,3.04,-0.12,0.04
-4.25504e-01,2.96,2.8,-0.12,-0.2
-4.25472e-01,2.96,3.04,-0.12,-0.04
-4.25440e-01,2.88,2.8,-0.2,-0.2
-4.25408e-01,2.88,3.04,-0.12,-0.04
-4.25376e-01,2.88,2.8,-0.12,-0.2
-4.25344e-01,2.88,2.96,-0.2,0.04
-4.25312e-01,2.88,2.8,-0.2,-0.2
-4.25280e-01,2.88,2.96,-0.2,-0.04
-4.25248e-01,2.88,2.8,-0.12,-0.2
-4.25216e-01,2.88,3.04,-0.2,-0.04
-4.25184e-01,2.8,2.8,-0.12,-0.2
-4.25152e-01,2.88,3.04,-0.12,-0.04
-4.25120e-01,2.88,2.8,-0.12,-0.2
-4.25088e-01,2.88,3.04,-0.12,-0.04
-4.25056e-01,2.88,2.72,-0.12,-0.28
-4.25024e-01,2.88,2.96,-0.12,0.04
-4.24992e-01,2.88,2.8,-0.12,-0.2
-4.24960e-01,2.88,3.04,-0.12,-0.04
-4.24928e-01,2.88,2.8,-0.2,-0.28
-4.24896e-01,2.88,3.04,-0.12,-0.04
-4.24864e-01,2.88,2.8,-0.12,-0.2
-4.24832e-01,2.96,2.96,-0.12,-0.04
-4.24800e-01,2.88,2.8,-0.12,-0.2
-4.24768e-01,2.96,3.04,-0.12,0.04
-4.24736e-01,2.96,2.8,-0.2,-0.2
-4.24704e-01,2.88,3.04,-0.12,-0.04
-4.24672e-01,2.88,2.8,-0.12,-0.28
-4.24640e-01,2.88,3.04,-0.12,-0.04
-4.24608e-01,2.88,2.8,-0.12,-0.2
-4.24576e-01,2.88,2.96,-0.2,0.04
-4.24544e-01,2.88,2.72,-0.2,-0.2
-4.24512e-01,2.88,3.04,-0.12,0.04
-4.24480e-01,2.88,2.8,-0.2,-0.2
-4.24448e-01,2.88,3.04,-0.2,-0.04
-4.24416e-01,2.88,2.8,-0.12,-0.2
-4.24384e-01,2.88,3.04,-0.12,-0.04
-4.24352e-01,2.88,2.8,-0.12,-0.2
-4.24320e-01,2.88,2.96,-0.2,-0.04
-4.24288e-01,2.96,2.8,-0.2,-0.28
-4.24256e-01,2.96,3.04,-0.2,0.04
-4.24224e-01,2.96,2.8,-0.12,-0.2
-4.24192e-01,2.88,3.04,-0.12,-0.04
-4.24160e-01,2.88,2.8,-0.2,-0.28
-4.24128e-01,2.88,3.04,-0.12,-0.04
-4.24096e-01,2.88,2.8,-0.12,-0.2
-4.24064e-01,2.88,3.04,-0.2,-0.04
-4.24032e-01,2.88,2.8,-0.2,-0.2
-4.24000e-01,2.88,3.04,-0.12,-0.04
-4.23968e-01,2.96,2.8,-0.12,-0.28
-4.23936e-01,2.88,3.04,-0.2,-0.04
-4.23904e-01,2.88,2.8,-0.2,-0.28
-4.23872e-01,2.88,3.04,-0.12,-0.04
-4.23840e-01,2.88,2.8,-0.2,-0.2
-4.23808e-01,2.88,2.96,-0.12,-0.04
-4.23776e-01,2.96,2.8,-0.12,-0.2
-4.23744e-01,2.96,3.04,-0.12,-0.04
-4.23712e-01,2.88,2.8,-0.2,-0.2
-4.23680e-01,2.88,3.04,-0.12,-0.04
-4.23648e-01,2.88,2.8,-0.2,-0.28
-4.23616e-01,2.88,3.04,-0.12,-0.04
-4.23584e-01,2.88,2.8,-0.12,-0.28
-4.23552e-01,2.88,2.96,-0.12,-0.04
-4.23520e-01,2.88,2.8,-0.12,-0.28
-4.23488e-01,2.96,3.04,-0.2,0.04
-4.23456e-01,2.96,2.8,-0.12,-0.28
-4.23424e-01,2.88,3.04,-0.2,-0.04
-4.23392e-01,2.88,2.8,-0.12,-0.28
-4.23360e-01,2.88,3.04,-0.12,-0.04
-4.23328e-01,2.88,2.8,-0.12,-0.2
-4.23296e-01,2.88,2.96,-0.12,-0.04
-4.23264e-01,2.96,2.8,-0.12,-0.2
-4.23232e-01,2.96,3.04,-0.2,-0.04
-4.23200e-01,2.96,2.8,-0.2,-0.28
-4.23168e-01,2.96,3.04,-0.2,-0.04
-4.23136e-01,2.88,2.8,-0.2,-0.28
-4.23104e-01,2.88,3.04,-0.12,-0.04
-4.23072e-01,2.88,2.8,-0.12,-0.2
-4.23040e-01,2.88,2.96,-0.12,-0.04
-4.23008e-01,2.88,2.8,-0.12,-0.2
-4.22976e-01,2.96,2.96,-0.12,0.04
-4.22944e-01,2.88,2.8,-0.12,-0.28
-4.22912e-01,2.88,3.04,-0.12,-0.04
-4.22880e-01,2.96,2.8,-0.12,-0.28
-4.22848e-01,2.88,3.04,-0.12,-0.04
-4.22816e-01,2.88,2.8,-0.2,-0.28
-4.22784e-01,2.88,3.04,-0.12,0.04
-4.22752e-01,2.96,2.8,-0.12,-0.2
-4.22720e-01,2.88,3.04,-0.12,0.04
-4.22688e-01,2.96,2.8,-0.2,-0.28
-4.22656e-01,2.96,3.04,-0.2,-0.04
-4.22624e-01,2.88,2.8,-0.12,-0.28
-4.22592e-01,2.88,3.04,-0.2,-0.04
-4.22560e-01,2.88,2.8,-0.12,-0.2
-4.22528e-01,2.88,3.04,-0.2,-0.04
